CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Avg_Utilization_Ratio
712876233,53,M,2,Graduate,Single,$80K - $120K,Blue,3,5272,1515,1289,0.287
804595158,44,F,4,Graduate,Single,Less than $40K,Blue,4,7000,2517,1112,0.36
714826758,37,F,3,Uneducated,Single,Less than $40K,Blue,4,7038,1801,2339,0.256
779058108,49,M,3,Graduate,Divorced,$60K - $80K,Blue,1,2536,1823,1468,0.719
710790258,47,M,2,Graduate,Married,$80K - $120K,Blue,3,28904,1899,1334,0.066
715623483,47,M,3,Graduate,Married,$60K - $80K,Blue,4,8567,1695,1457,0.198
715156383,44,M,1,Unknown,Unknown,$120K +,Blue,2,34516,1533,1603,0.044
711013983,55,F,4,Unknown,Married,$40K - $60K,Blue,4,2158,0,615,0
755420433,59,F,1,Graduate,Married,Unknown,Blue,3,10133,1417,1068,0.14
794543958,53,M,1,Graduate,Divorced,$80K - $120K,Blue,4,34516,1219,1590,0.035
716396358,52,M,2,Graduate,Married,$60K - $80K,Blue,3,3085,1910,1531,0.619
715398033,53,M,2,High School,Single,$120K +,Blue,2,19040,2056,1212,0.108
711743883,43,F,3,Uneducated,Single,Less than $40K,Blue,2,4026,0,1237,0
719720058,44,M,3,High School,Single,$60K - $80K,Blue,3,12756,837,1413,0.066
778992108,57,M,2,Unknown,Married,$120K +,Blue,3,5266,0,1516,0
717539808,51,F,2,High School,Single,Less than $40K,Blue,2,9930,0,1276,0
714070758,49,M,4,High School,Single,$80K - $120K,Blue,3,31302,1953,1564,0.062
714107958,45,M,1,Graduate,Single,$40K - $60K,Blue,4,6576,0,1465,0
789140283,53,M,0,Graduate,Single,$80K - $120K,Blue,4,2664,2037,1286,0.765
715550508,45,F,3,Unknown,Married,Unknown,Blue,1,2535,2440,1312,0.963
719712633,64,M,1,Graduate,Married,Less than $40K,Blue,4,1709,895,1673,0.524
772629333,45,M,3,Graduate,Married,$40K - $60K,Blue,4,3454,1200,1313,0.347
720336708,53,M,3,Doctorate,Married,$40K - $60K,Blue,3,3789,1706,1609,0.45
802013583,56,M,3,College,Married,$120K +,Blue,2,9689,2250,1158,0.232
711887583,47,M,2,Unknown,Married,$80K - $120K,Blue,3,5449,1628,836,0.299
714778833,49,F,3,College,Single,Unknown,Blue,4,23032,1960,1289,0.085
713843283,41,F,3,Unknown,Married,Unknown,Silver,3,34516,2053,1487,0.059
779155158,53,M,3,Graduate,Married,$120K +,Blue,2,2940,1264,1259,0.43
721091583,44,F,2,Graduate,Single,Less than $40K,Blue,3,3031,1879,1298,0.62
713572683,44,M,3,High School,Unknown,$60K - $80K,Blue,3,1862,0,1226,0
716657058,43,F,4,Post-Graduate,Married,Less than $40K,Blue,3,8358,926,1566,0.111
779509983,53,M,2,Post-Graduate,Single,$120K +,Blue,1,34516,931,1022,0.027
717929133,44,M,1,Uneducated,Married,$60K - $80K,Blue,2,14450,2440,1235,0.169
808284783,62,F,1,Unknown,Married,Less than $40K,Blue,0,1438.3,0,1951,0
708476808,54,M,4,Unknown,Divorced,$120K +,Blue,3,33791,1960,1047,0.058
710916408,57,M,4,Graduate,Married,$60K - $80K,Blue,3,8466,1886,1342,0.223
708492558,42,M,3,Unknown,Married,$60K - $80K,Blue,3,15088,865,1107,0.057
799825758,42,M,4,High School,Divorced,$60K - $80K,Blue,1,3263,1674,1251,0.513
718619883,54,F,0,Uneducated,Married,Less than $40K,Blue,2,1494,706,1305,0.473
711844758,48,M,3,Graduate,Single,$80K - $120K,Blue,1,13551,1294,1388,0.095
714798783,49,M,1,Graduate,Single,$80K - $120K,Blue,2,18886,895,1235,0.047
826762908,52,M,3,High School,Unknown,$80K - $120K,Blue,2,11976,1273,2089,0.106
771894558,50,M,3,High School,Single,$80K - $120K,Blue,1,9964,1559,1626,0.156
721074183,49,M,1,Doctorate,Married,$60K - $80K,Blue,6,24159,1196,1111,0.05
715259583,53,F,2,High School,Married,Less than $40K,Blue,2,5362,1901,1553,0.355
718414008,50,M,2,Graduate,Single,$120K +,Blue,2,34516,1023,1064,0.03
719666283,55,F,1,Doctorate,Married,Less than $40K,Blue,1,3174,1951,1243,0.615
714877233,53,M,1,High School,Married,$80K - $120K,Blue,2,12262,1836,1659,0.15
785387883,47,F,3,High School,Single,$40K - $60K,Blue,3,3788,1540,1594,0.407
771075258,55,M,2,College,Single,$120K +,Silver,3,34516,1527,1268,0.044
711318033,47,M,3,Graduate,Single,$60K - $80K,Blue,2,2926,0,1304,0
783554958,58,M,4,Graduate,Single,$120K +,Blue,1,32090,0,1368,0
720201033,53,M,2,Graduate,Married,$80K - $120K,Blue,3,11669,2227,720,0.191
718039683,52,M,2,High School,Single,$40K - $60K,Blue,1,13532,1300,1521,0.096
710806083,50,F,1,Uneducated,Unknown,Less than $40K,Silver,2,11888,2090,1137,0.176
714752208,42,F,1,Graduate,Married,Less than $40K,Blue,1,2393,1985,978,0.83
822063408,43,M,4,Unknown,Married,$40K - $60K,Blue,1,6111,2517,1221,0.412
714490308,57,M,4,Graduate,Married,$80K - $120K,Blue,2,19270,1662,1565,0.086
713356833,52,M,1,Graduate,Married,$80K - $120K,Blue,1,3710,2517,1578,0.678
711402333,47,M,2,Doctorate,Single,Less than $40K,Blue,1,3235,797,1493,0.246
708296883,44,F,3,Graduate,Single,$40K - $60K,Blue,1,11749,788,1178,0.067
719154483,53,M,2,High School,Divorced,$60K - $80K,Blue,3,7753,2100,991,0.271
717721458,45,M,4,College,Divorced,$60K - $80K,Blue,1,10408,1186,2560,0.114
711112683,63,F,1,College,Married,Unknown,Blue,2,3967,1568,1657,0.395
715674483,39,F,2,Post-Graduate,Single,Less than $40K,Blue,2,6205,2517,1204,0.406
789322833,48,F,5,High School,Married,Less than $40K,Blue,3,8025,0,673,0
789968058,51,M,1,Unknown,Single,$120K +,Blue,2,9036,2327,1131,0.258
709919283,54,M,4,Graduate,Married,$80K - $120K,Blue,3,14926,2517,1576,0.169
718744008,59,F,1,Graduate,Single,Less than $40K,Blue,2,6335,1128,1217,0.178
767712558,59,M,1,College,Single,$60K - $80K,Blue,3,14979,0,530,0
712950783,48,F,4,Uneducated,Married,Less than $40K,Blue,2,2732,0,739,0
716104983,41,F,2,Graduate,Single,Less than $40K,Blue,3,2250,2117,1617,0.941
818839983,55,M,2,Graduate,Married,$120K +,Blue,2,10916,1536,1592,0.141
772288758,47,F,4,Graduate,Married,Unknown,Blue,1,5349,1228,1343,0.23
712350858,41,M,2,High School,Married,$80K - $120K,Blue,1,9366,1104,1303,0.118
711009708,40,M,3,High School,Single,$80K - $120K,Blue,1,21617,0,1351,0
712720158,68,M,1,Graduate,Married,Unknown,Blue,2,13860,1652,1910,0.119
712215258,50,F,1,Graduate,Single,$40K - $60K,Silver,2,18386,0,1298,0
773827008,47,M,4,Uneducated,Single,$60K - $80K,Blue,2,2405,1540,1087,0.64
795232683,53,F,1,College,Married,Less than $40K,Blue,2,2154,930,1439,0.432
713786508,42,F,5,Unknown,Married,$40K - $60K,Blue,3,2038,0,1238,0
713539833,48,F,4,High School,Single,$40K - $60K,Blue,1,8135,0,1716,0
712454058,49,M,1,Doctorate,Married,$120K +,Blue,1,9364,618,1099,0.066
718759833,44,F,2,Uneducated,Married,Unknown,Silver,3,32643,0,1058,0
718803333,43,F,4,Graduate,Divorced,Less than $40K,Blue,3,3195,1954,1285,0.612
720253908,56,M,0,High School,Married,$80K - $120K,Blue,2,2852,1024,1651,0.359
714133158,59,F,1,College,Single,Unknown,Blue,3,4224,1305,1152,0.309
713187033,46,M,1,Uneducated,Married,$60K - $80K,Blue,2,20459,2071,1767,0.101
714791208,47,F,4,Unknown,Divorced,Less than $40K,Blue,5,3482,2114,1039,0.607
772426383,50,F,4,Uneducated,Married,$40K - $60K,Blue,2,3065,1570,1130,0.512
710975883,51,F,3,Uneducated,Married,Less than $40K,Blue,1,2185,1761,1645,0.806
714264408,47,F,3,Uneducated,Married,Less than $40K,Blue,1,1611,746,1413,0.463
715827858,58,F,4,Uneducated,Married,Less than $40K,Blue,3,2822,2173,1218,0.77
713741358,46,M,5,Graduate,Single,$80K - $120K,Blue,3,32975,2517,597,0.076
709531908,53,M,3,High School,Married,$60K - $80K,Blue,2,1438.3,0,2184,0
716493408,45,F,4,Uneducated,Divorced,Unknown,Blue,3,15875,1719,1592,0.108
714141108,52,F,1,High School,Married,Less than $40K,Blue,3,6703,893,1388,0.133
708953883,53,M,2,Unknown,Married,$80K - $120K,Blue,2,3212,0,757,0
712608783,50,M,2,High School,Married,$80K - $120K,Silver,1,34516,1260,1504,0.037
820353558,41,F,3,High School,Married,$40K - $60K,Blue,1,9797,1434,1503,0.146
714964758,45,F,5,Graduate,Divorced,$40K - $60K,Blue,2,10400,1777,1105,0.171
716264358,53,M,3,Uneducated,Married,$80K - $120K,Blue,1,26792,1836,2398,0.069
717296808,67,F,1,Graduate,Married,Less than $40K,Blue,3,3006,2517,1661,0.837
712977183,57,F,2,Uneducated,Single,$40K - $60K,Silver,3,19482,1072,1421,0.055
710829108,59,F,1,Uneducated,Married,$40K - $60K,Blue,2,3356,985,999,0.294
779562633,45,M,2,Uneducated,Married,$40K - $60K,Blue,2,5771,2248,1387,0.39
715315833,51,M,3,Graduate,Married,$80K - $120K,Blue,2,11106,2107,1243,0.19
815500983,59,F,1,Uneducated,Married,Less than $40K,Blue,3,2890,2001,1860,0.692
719360583,53,M,1,Graduate,Married,$60K - $80K,Blue,2,3380,1701,1502,0.503
709701558,47,M,3,Graduate,Married,$60K - $80K,Blue,1,21331,1251,1460,0.059
721148358,49,F,3,Uneducated,Single,Unknown,Blue,2,12860,0,1348,0
779862408,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,1,6278,462,1087,0.074
812627208,60,F,0,College,Single,Less than $40K,Blue,1,1438.3,738,1226,0.513
711033408,50,F,2,High School,Married,Less than $40K,Blue,1,9355,1626,1230,0.174
779956608,41,F,2,Post-Graduate,Married,Unknown,Blue,1,20758,0,1555,0
780376683,57,M,1,Graduate,Married,$80K - $120K,Blue,3,14612,1976,1827,0.135
717912483,43,M,4,Graduate,Unknown,$80K - $120K,Blue,2,27259,0,1376,0
714454758,57,F,3,Graduate,Married,Less than $40K,Blue,2,6347,1594,1771,0.251
780466533,54,M,3,Doctorate,Married,$120K +,Blue,3,21592,1676,1873,0.078
715735233,51,F,5,Post-Graduate,Married,Less than $40K,Blue,1,3449,1598,1679,0.463
720476733,47,F,3,High School,Married,Less than $40K,Blue,1,6028,799,1002,0.133
715872333,41,M,0,High School,Unknown,$120K +,Blue,2,18214,1998,1344,0.11
712375758,53,M,3,Uneducated,Married,$80K - $120K,Blue,3,16393,1423,1461,0.087
708868233,68,M,0,High School,Married,Less than $40K,Blue,3,1438.3,900,760,0.626
718030083,59,M,1,College,Married,$60K - $80K,Blue,1,7871,1687,1428,0.214
720707283,48,M,4,Unknown,Married,$80K - $120K,Blue,3,5288,866,1777,0.164
771698658,44,M,5,Graduate,Married,$60K - $80K,Blue,5,11376,2006,1302,0.176
748326258,48,M,3,College,Married,$80K - $120K,Blue,5,12302,1632,1483,0.133
770817783,47,M,4,Graduate,Married,$60K - $80K,Silver,2,34516,1679,1060,0.049
779353083,47,M,2,Graduate,Married,$60K - $80K,Silver,2,34516,1468,1330,0.043
711441333,43,F,1,High School,Divorced,Less than $40K,Silver,2,10514,1580,1229,0.15
719808558,55,F,2,Graduate,Married,Less than $40K,Blue,4,1438.3,0,886,0
711551958,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,3,1438.3,0,844,0
809164083,63,M,1,Graduate,Married,$40K - $60K,Blue,1,2619,1779,1450,0.679
820596183,58,M,2,College,Married,$120K +,Blue,3,24407,2395,2311,0.098
715999608,53,F,2,High School,Married,Less than $40K,Blue,1,2377,1649,1378,0.694
710565408,59,M,0,Unknown,Unknown,$80K - $120K,Silver,2,34516,1359,1033,0.039
805543158,52,M,3,Graduate,Married,$120K +,Blue,3,11086,2207,1523,0.199
709752183,48,M,3,High School,Single,$60K - $80K,Blue,2,11432,2517,1374,0.22
716479233,43,M,4,High School,Married,$40K - $60K,Blue,3,13258,1721,1080,0.13
713837058,48,M,2,College,Single,Less than $40K,Blue,2,2571,1955,1234,0.76
718876683,43,F,4,Graduate,Single,Less than $40K,Blue,2,5781,1168,1600,0.202
770746908,44,M,4,Unknown,Married,$60K - $80K,Blue,1,7872,2509,1155,0.319
794843883,41,M,3,High School,Married,$80K - $120K,Blue,1,34516,1202,1353,0.035
803043933,44,F,3,Uneducated,Divorced,Less than $40K,Silver,1,11127,1835,1546,0.165
758076408,50,M,2,Unknown,Single,$40K - $60K,Blue,1,1857,1603,1590,0.863
714606558,60,F,1,Uneducated,Married,Less than $40K,Blue,1,1913,1272,1448,0.665
778425408,44,M,4,Graduate,Single,$80K - $120K,Blue,3,3839,2295,1271,0.598
714171108,48,F,3,Graduate,Divorced,$40K - $60K,Blue,2,2115,1141,1223,0.539
719662458,44,F,2,Graduate,Divorced,Less than $40K,Blue,2,1438.3,679,1117,0.472
713137233,41,M,2,High School,Single,$80K - $120K,Blue,3,27756,1789,994,0.064
769425858,45,M,3,College,Single,$60K - $80K,Blue,1,1438.3,0,1468,0
711297483,47,F,2,Uneducated,Divorced,Less than $40K,Silver,4,13878,2222,1658,0.16
788900883,51,F,2,Graduate,Married,Less than $40K,Blue,1,3106,1304,1368,0.42
758348808,51,M,2,Graduate,Married,$120K +,Blue,3,34516,1666,1218,0.048
772336458,60,F,1,Uneducated,Married,$40K - $60K,Blue,4,1438.3,1025,702,0.713
708711483,57,M,2,Unknown,Married,$80K - $120K,Blue,3,18871,1740,1516,0.092
717906783,41,M,5,Graduate,Single,$120K +,Blue,2,5207,1748,1310,0.336
719437908,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,2,17965,1644,1767,0.092
769433508,43,M,1,College,Single,$60K - $80K,Blue,3,2733,1819,933,0.666
790096533,55,M,2,College,Married,$60K - $80K,Blue,3,8863,1301,1512,0.147
720997383,52,M,1,Uneducated,Married,$80K - $120K,Blue,3,1857,1833,829,0.987
787541883,44,M,3,Graduate,Unknown,$80K - $120K,Blue,3,34516,0,1120,0
709930758,41,M,2,Uneducated,Married,$40K - $60K,Blue,3,11107,1222,1506,0.11
789830058,44,M,4,Unknown,Single,$80K - $120K,Blue,1,21573,1585,1384,0.073
710299608,53,F,2,Unknown,Married,Less than $40K,Blue,3,2859,2517,817,0.88
710741208,39,M,2,High School,Single,$80K - $120K,Blue,2,5269,1475,2094,0.28
821797008,49,M,5,College,Married,$40K - $60K,Blue,2,1438.3,0,815,0
708874533,45,F,2,College,Married,Less than $40K,Blue,3,3387,0,510,0
715341858,54,M,2,Graduate,Married,$80K - $120K,Blue,2,1982,1289,1377,0.65
793636308,49,M,3,Uneducated,Single,$80K - $120K,Blue,2,4645,1650,1193,0.355
713779908,46,F,3,Doctorate,Single,Unknown,Blue,3,2189,1666,1287,0.761
712125258,46,M,4,High School,Married,$120K +,Blue,3,2442,0,701,0
709703433,47,M,3,Graduate,Married,$60K - $80K,Blue,1,21304,1532,1770,0.072
721022433,44,M,2,Doctorate,Single,$60K - $80K,Blue,1,7577,2480,1409,0.327
710103558,50,M,3,Post-Graduate,Single,$120K +,Blue,1,3234,1486,1354,0.459
715952883,73,M,0,High School,Married,$40K - $60K,Blue,3,4469,1125,1765,0.252
719731458,56,M,3,Unknown,Unknown,$40K - $60K,Blue,3,2910,709,1192,0.244
772390908,59,M,0,High School,Single,$40K - $60K,Blue,4,3616,1054,687,0.291
787348608,70,M,0,High School,Married,Less than $40K,Blue,2,3252,1495,1227,0.46
709485033,55,F,2,High School,Married,Less than $40K,Blue,3,2358,1152,1737,0.489
715432608,43,M,4,Unknown,Single,$60K - $80K,Blue,1,22322,953,1348,0.043
799471833,45,M,1,Uneducated,Single,$120K +,Blue,2,3133,1510,1435,0.482
714187533,45,F,2,Uneducated,Single,$40K - $60K,Blue,3,3540,849,1321,0.24
779656908,40,M,1,Graduate,Married,$40K - $60K,Blue,3,6990,1378,1479,0.197
788950158,36,M,2,College,Unknown,$80K - $120K,Blue,2,34516,1652,1283,0.048
778867533,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,4,1438.3,0,689,0
710620383,43,M,4,Unknown,Married,$60K - $80K,Blue,3,24396,1171,965,0.048
778661358,46,F,1,Unknown,Married,Less than $40K,Blue,3,2474,2143,1541,0.866
789483333,41,M,2,Uneducated,Married,$40K - $60K,Blue,1,5214,795,1258,0.152
809855808,51,F,2,Graduate,Married,Less than $40K,Blue,2,5207,1650,1339,0.317
718464258,51,F,3,Unknown,Unknown,Less than $40K,Blue,2,9512,1082,1007,0.114
708528483,43,F,4,Graduate,Divorced,Unknown,Blue,3,3187,2430,1387,0.762
771809733,64,F,0,High School,Married,$40K - $60K,Blue,3,3353,0,960,0
719942883,54,M,5,Graduate,Married,$60K - $80K,Blue,3,2290,1434,1119,0.626
807226683,48,M,3,Unknown,Single,$40K - $60K,Blue,1,5279,1115,1642,0.211
717806133,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,3,23603,0,1382,0
720615708,57,M,0,Uneducated,Married,$40K - $60K,Blue,2,2601,0,1232,0
714511758,45,M,4,Graduate,Single,$80K - $120K,Blue,3,6363,1029,1542,0.162
715050408,41,M,3,High School,Single,$80K - $120K,Blue,3,8029,1576,1094,0.196
721132233,42,F,4,Uneducated,Married,Less than $40K,Blue,2,2410,1769,1217,0.734
719211558,45,M,2,Graduate,Single,$60K - $80K,Blue,1,3401,0,744,0
712069008,42,F,4,Uneducated,Married,Less than $40K,Blue,2,2260,1007,1614,0.446
715996983,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,2,17682,2481,1747,0.14
773466258,48,F,4,High School,Married,$40K - $60K,Blue,1,4206,1100,1144,0.262
798983508,43,M,1,Graduate,Single,$80K - $120K,Silver,3,34516,1440,1575,0.042
719117433,41,M,4,High School,Unknown,$80K - $120K,Blue,3,23018,2168,1463,0.094
716451183,54,F,1,Uneducated,Married,$40K - $60K,Blue,2,5556,1711,1706,0.308
718621608,54,F,2,High School,Married,Unknown,Blue,3,6094,0,909,0
715085733,61,M,0,Graduate,Married,$40K - $60K,Blue,1,2939,1999,2434,0.68
788977833,61,M,0,Uneducated,Married,$80K - $120K,Blue,1,5362,1274,1876,0.238
720272958,48,M,2,High School,Married,$120K +,Blue,3,27126,0,1000,0
708421833,45,F,4,Graduate,Single,Less than $40K,Blue,3,3342,2517,1139,0.753
709173108,54,F,4,Graduate,Married,Unknown,Blue,2,2532,2221,799,0.877
709879458,54,F,3,Doctorate,Married,Unknown,Blue,2,1900,1376,1881,0.724
715120608,44,M,3,Graduate,Single,$60K - $80K,Blue,3,14546,1703,1273,0.117
770632758,50,F,4,Doctorate,Single,Unknown,Blue,3,2521,1608,1328,0.638
779078733,55,M,2,Doctorate,Married,$60K - $80K,Blue,4,16427,1682,1579,0.102
771742533,48,M,2,Graduate,Unknown,$40K - $60K,Blue,1,13068,1718,937,0.131
720250158,45,M,2,College,Single,$60K - $80K,Blue,3,23218,1814,1749,0.078
716458983,60,M,0,High School,Married,$40K - $60K,Blue,1,3281,837,1424,0.255
713747733,55,M,2,High School,Married,$40K - $60K,Blue,3,3096,2217,2011,0.716
712270158,62,F,0,High School,Married,$40K - $60K,Blue,2,2052,1250,1208,0.609
789562383,38,F,1,High School,Unknown,Less than $40K,Blue,3,1438.3,583,1259,0.405
754897008,46,M,3,High School,Single,$40K - $60K,Blue,3,9432,1418,1319,0.15
819700533,50,M,0,High School,Single,$120K +,Silver,2,14938,2303,949,0.154
712890408,45,M,2,Uneducated,Married,$60K - $80K,Blue,3,2221,1343,1338,0.605
720248208,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,3,5731,1577,1554,0.275
779749908,48,M,4,College,Married,$60K - $80K,Gold,2,34516,2061,1350,0.06
717401883,35,M,3,Uneducated,Married,$60K - $80K,Blue,2,6985,1130,1694,0.162
721509558,51,M,2,Graduate,Married,$120K +,Blue,3,24221,1707,1678,0.07
710572458,36,F,3,High School,Married,Unknown,Blue,1,15439,0,2069,0
714576183,47,M,4,Graduate,Single,$80K - $120K,Blue,3,21637,2030,1222,0.094
721425558,52,M,2,Graduate,Single,$120K +,Blue,3,14543,0,1536,0
711109908,43,F,4,Uneducated,Married,Less than $40K,Blue,1,9684,2475,1400,0.256
715203108,63,M,2,High School,Married,$40K - $60K,Blue,2,5007,930,1050,0.186
710027508,61,M,0,Graduate,Married,$60K - $80K,Blue,2,1616,1047,1389,0.648
787464408,53,M,2,Uneducated,Single,$60K - $80K,Blue,2,19116,0,1184,0
783542133,53,F,3,Graduate,Married,Less than $40K,Blue,6,2759,2223,2093,0.806
708330858,57,M,3,Graduate,Married,$120K +,Blue,3,8249,1381,678,0.167
714426783,38,F,2,Graduate,Single,Unknown,Blue,3,14041,2154,1467,0.153
